% Moku:FrequencyResponseAnalyzer
% Input 1 - DC coupling  50 Ohm impedance  10 Vpp range  output load 50 Ohm  amplitude 5 mVpp  offset 0.000 0 V
% Input 2 - DC coupling  1 MOhm impedance  10 Vpp range  output load 1 MOhm  amplitude 100 mVpp  offset 0.000 0 V
% Logarithmic sweep  calibration off
% Averaging time 10.00 ms  1 cycles; Settling time 2.000 ms  1 cycles
% Measuring fundamental  phase difference between channels 0.000 deg
% Internal 10 MHz clock
% Acquired 2022-08-23 T 15:54:04 -0700
% Frequency (Hz)  Input 1 Magnitude (dB)  Input 1 Phase (deg)  Input 2 Magnitude (dB)  Input 2 Phase (deg)
2.13546421e+06  -6.2411e+01  -6.3633e+00  -8.1763e+01  -2.4572e+01
2.11482905e+06  -6.3351e+01  -9.8728e+01  -9.3890e+01  -5.9666e+01
2.09439329e+06  -5.3838e+01  5.4425e+01  -8.3866e+01  6.2613e+01
2.07415500e+06  -5.5955e+01  7.1893e+00  -8.3973e+01  5.7836e+00
2.05411228e+06  -5.3944e+01  1.1293e+02  -9.6983e+01  1.4368e+02
2.03426323e+06  -5.0459e+01  1.0929e+02  -9.5112e+01  -1.5735e+02
2.01460598e+06  -4.9201e+01  1.5350e+02  -8.8829e+01  7.2292e+01
1.99513869e+06  -4.8744e+01  1.6614e+02  -1.0159e+02  1.2857e+02
1.97585951e+06  -4.8933e+01  -1.4714e+02  -8.8629e+01  -6.5670e+01
1.95676662e+06  -5.0416e+01  -1.2782e+02  -8.9489e+01  -2.9462e+01
1.93785823e+06  -5.1409e+01  -9.5082e+01  -8.2223e+01  -1.5966e+02
1.91913255e+06  -4.3786e+01  -8.6872e+01  -9.5113e+01  1.0523e+02
1.90058782e+06  -4.6148e+01  -6.3366e+01  -9.0759e+01  -1.3083e+02
1.88222229e+06  -4.2653e+01  -4.2467e+01  -8.1077e+01  -1.0498e+02
1.86403423e+06  -4.2059e+01  -8.2888e+00  -8.9766e+01  -7.9865e+01
1.84602192e+06  -3.9977e+01  2.8321e+01  -9.1839e+01  1.0643e+02
1.82818366e+06  -3.9164e+01  5.4244e+01  -9.0451e+01  -2.8502e+01
